location,attention_score
"-98.781250  32.343750
",1.3140898942947388
"-97.531250  31.031250
",1.5123337507247925
"-97.406250  31.656250
",1.676971435546875
"-98.281250  31.593750
",1.54714035987854
"-96.968750  30.468750
",1.5724594593048096
"-96.968750  30.343750
",1.533131718635559
"-101.718750  32.968750
",1.3430222272872925
"-96.343750  31.406250
",1.5378341674804688
"-96.156250  30.343750
",1.5976366996765137
"-100.718750  33.093750
",1.484654426574707
"-101.281250  33.093750
",1.4984254837036133
"-103.531250  34.468750
",1.2726598978042603
"-102.968750  34.593750
",1.3339006900787354
"-101.718750  33.468750
",1.326662302017212
"-97.031250  30.906250
",1.4611974954605103
"-99.593750  33.406250
",1.6347476243972778
"-96.156250  30.968750
",1.4004111289978027
"-101.656250  33.656250
",1.3657569885253906
"-97.343750  32.218750
",1.321232795715332
"-96.218750  30.843750
",1.2952790260314941
"-98.156250  30.968750
",1.3337429761886597
"-101.218750  33.843750
",1.475411295890808
"-97.781250  32.656250
",1.4280327558517456
"-98.656250  32.093750
",1.592721939086914
"-101.281250  33.531250
",1.5783722400665283
"-97.093750  30.656250
",1.2573394775390625
"-100.031250  32.968750
",1.604087233543396
"-96.843750  31.718750
",1.577644944190979
"-98.156250  31.968750
",1.4179060459136963
"-97.468750  31.718750
",1.5780901908874512
"-99.031250  32.968750
",1.599398136138916
"-97.593750  31.593750
",1.3954696655273438
"-100.156250  32.406250
",1.299451231956482
"-100.656250  32.781250
",1.3095953464508057
"-97.718750  32.593750
",1.4726791381835938
"-97.781250  30.781250
",1.4588813781738281
"-100.968750  33.218750
",1.4588804244995117
"-97.656250  31.093750
",1.4939954280853271
"-101.156250  33.656250
",1.2959502935409546
"-97.906250  31.031250
",1.5759512186050415
"-101.531250  33.031250
",1.445891261100769
"-96.031250  29.968750
",1.2602776288986206
"-101.781250  33.531250
",1.4806275367736816
"-101.281250  33.968750
",1.5447123050689697
"-101.843750  33.593750
",1.4198451042175293
"-96.343750  30.781250
",1.3193721771240234
"-99.781250  33.406250
",1.5831300020217896
"-95.718750  29.281250
",1.2752280235290527
"-99.781250  32.718750
",1.660860538482666
"-96.718750  30.656250
",1.5477864742279053
"-102.343750  34.218750
",1.6044623851776123
"-98.406250  31.281250
",1.4478733539581299
"-102.531250  34.093750
",1.4781044721603394
"-97.906250  31.281250
",1.5514869689941406
"-96.281250  31.593750
",1.2921128273010254
"-102.406250  34.281250
",1.585660696029663
"-103.406250  34.093750
",1.5684254169464111
"-100.531250  33.156250
",1.5641045570373535
"-99.531250  32.781250
",1.2693452835083008
"-96.718750  30.281250
",1.5161744356155396
"-96.531250  30.968750
",1.6536102294921875
"-103.718750  33.843750
",1.3510091304779053
"-99.406250  32.906250
",1.415152668952942
"-97.531250  32.093750
",1.445160150527954
"-103.093750  34.406250
",1.2802032232284546
"-99.968750  33.281250
",1.5222448110580444
"-100.468750  32.406250
",1.5341682434082031
"-100.343750  32.968750
",1.3530919551849365
"-100.406250  32.656250
",1.507935881614685
"-99.718750  33.531250
",1.2949309349060059
"-98.218750  31.656250
",1.4940264225006104
"-97.906250  30.906250
",1.4986984729766846
"-95.656250  29.343750
",1.4640402793884277
"-96.531250  30.281250
",1.515428066253662
"-100.531250  32.406250
",1.650364875793457
"-103.656250  34.406250
",1.5972697734832764
"-99.031250  33.406250
",1.26357102394104
